Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,17.600000,18.540001,16.559999,16.600000,16.600000,0
2022-01-04,16.570000,17.809999,16.340000,16.910000,16.910000,0
2022-01-05,17.070000,20.170000,16.580000,19.730000,19.730000,0
2022-01-06,20.290001,21.059999,19.080000,19.610001,19.610001,0
2022-01-07,19.850000,20.799999,18.570000,18.760000,18.760000,0
2022-01-10,19.580000,23.330000,19.290001,19.400000,19.400000,0
2022-01-11,19.620001,21.000000,18.200001,18.410000,18.410000,0
2022-01-12,18.170000,18.690001,17.360001,17.620001,17.620001,0
2022-01-13,18.059999,20.610001,17.450001,20.309999,20.309999,0
2022-01-14,20.110001,22.070000,19.049999,19.190001,19.190001,0
2022-01-18,21.180000,23.200001,21.180000,22.790001,22.790001,0
2022-01-19,23.120001,23.990000,21.850000,23.850000,23.850000,0
2022-01-20,23.459999,25.889999,21.680000,25.590000,25.590000,0
2022-01-21,25.379999,29.790001,25.309999,28.850000,28.850000,0
2022-01-24,28.200001,38.939999,28.020000,29.900000,29.900000,0
2022-01-25,32.290001,35.849998,29.129999,31.160000,31.160000,0
2022-01-26,29.350000,33.040001,26.900000,31.959999,31.959999,0
2022-01-27,32.189999,33.000000,28.420000,30.490000,30.490000,0
2022-01-28,30.270000,32.820000,27.280001,27.660000,27.660000,0
2022-01-31,28.360001,29.410000,24.709999,24.830000,24.830000,0
2022-02-01,24.570000,25.330000,21.959999,21.959999,21.959999,0
2022-02-02,21.559999,22.730000,20.459999,22.090000,22.090000,0
2022-02-03,22.629999,25.809999,22.299999,24.350000,24.350000,0
2022-02-04,23.770000,26.260000,22.070000,23.219999,23.219999,0
2022-02-07,24.090000,24.820000,22.020000,22.860001,22.860001,0
2022-02-08,23.090000,23.480000,21.320000,21.440001,21.440001,0
2022-02-09,21.270000,21.299999,19.930000,19.959999,19.959999,0
2022-02-10,20.370001,24.770000,20.180000,23.910000,23.910000,0
2022-02-11,24.389999,30.990000,23.330000,27.360001,27.360001,0
2022-02-14,29.170000,32.040001,28.330000,28.330000,28.330000,0
2022-02-15,28.090000,28.090000,25.330000,25.700001,25.700001,0
2022-02-16,25.190001,27.090000,23.879999,24.290001,24.290001,0
